ba99 dc3a
6ea5 e209
4642 973e
bb67 4967
5b95 f5b3
6ce7 0650
577a 12ad
f604 e45c
3831 536c
a833 b78d
8b33 debc
f92e c4e7
5e48 4623
3219 804c
3a15 3a5a
a903 b8f8
89ac 17a8
9b01 cfee
aee6 5668
1955 0a7b
4c1b 863c
10cb a395
98e9 06cf
87f1 d119
5a3a 3024
88a6 e56d
0edf 81d3
aa54 6d27
c7f6 dc6d
ed72 020b
16c6 9675
bb03 a072
ae1d 5604
705f 5d03
ac6c 89b4
677e f886
0fef 7849
9c1b a8d8
7f17 240b
79f1 d951
542f 0296
bebe 630e
8469 6912
d034 4c5f
457f bda6
4e6a 5c45
541b 096c
fcb6 0238
5f70 6d15
5f3b 0bdb
f6c9 c6b9
0461 06b8
3f02 a07c
af8f be19
c487 2980
976a 18b5
2c16 5628
7bc3 b07f
bf3a 4bf7
fcde 04b8
099d 4b47
60fd 5db8
54b3 5db3
5ff0 b423
cac8 bf2b
bffe c190
85e4 c45f
c848 c4e5
64da 77d7
82fe 2961
a156 1a67
4216 cd6c
708f bdd8
7dea 2fc8
09cf 7ac8
3480 136b
c60f 957d
7123 1ac2
f32f d112
cee4 bdf7
903d 8ee2
7f87 1620
5340 47ce
db05 b81a
bfa5 5e03
e17b 60fb
786a 2390
2e66 e8f8
e168 ac50
18c0 eb37
2718 4d40
fea2 ed26
e2bd 6fc4
07e8 d5ec
40d6 d6cc
93e2 d113
65ad 1369
e733 b8ed
5b37 c238
7107 1adb
203a 5282
7bd6 98a4
7612 aa3c
819c 577a
568c 9a5c
42b0 7da3
e79c 4152
6ac9 ca58
b116 72b1
a044 f1ec
497c 3426
c2fe af29
478e aa31
6816 a2c5
6c68 d91d
bda0 8ca2
2b9f 3975
2546 a1b0
e3b1 a6e1
f92a 3a3c
413d 3bda
b7df 28d8
7d2b 22a8
f330 2e41
9559 9374
202c ded5
c799 e32a
8dfe 0f27
8d5b f614
b1ec f9c3
cf31 6f8b
8665 facf
a900 abaa
9c7f 8cb1
528b 95a9
c6ed 93c8
d182 7ecc
bca0 4ead
a174 afd0
7cee 36cc
4343 9d1a
15a1 0adc
8044 a39e
1a03 0d9e
99b2 cbef
0761 68e2
3b7a 8dc5
63b1 e47a
396f 0030
712a 8bfa
95d9 3817
1fc2 675b
b6e2 dc61
b608 5856
8c31 32f5
8f22 cf74
d00f a4c2
da50 5052
4860 f453
5df0 e212
c041 6551
4af4 fbbb
f316 aea5
e034 2c85
aed5 515e
b87f 44ad
8975 d840
ac08 4057
b4a1 620f
98ac 40d2
9504 27ce
1045 6513
cc90 ea95
b565 14f0
dee7 1355
f701 9f28
78a5 41f5
9ae3 6bbb
f099 7b17
983f 9f6e
cc75 50be
e41b 55e9
28fe 9022
9640 dd9f
f231 2eec
1e70 8735
56b9 2eb5
ec48 2349
194a a1ac
3838 f831
b501 2f39
9759 2da6
712e 323b
9960 61c7
ad52 319f
0134 79c6
825d e54f
cfaf ab5a
7571 65ef
88f9 67a2
94da a769
eed7 eb93
d61e db1e
0edc ef67
7cca 4714
e798 31cb
764d 7ef0
5f70 e77a
b12b f8d0
4941 5e7d
2a6f 4a75
d843 accc
2fc3 a7f2
5826 a534
0de0 e11e
0cd5 a2ba
8887 fbac
8e4d 5ea4
d6ca 9d29
4e0b 5394
e43c 35a3
855e 5a89
b493 e4ce
4203 65be
dd9e 8b43
c43a 080d
d5b8 9c7d
b4d9 057b
446e 0cfe
aaae 524e
ee1c b783
f508 76a3
b32f 8355
d547 89f8
207e 2352
dd8c 04ba
58f4 62ea
5f42 0d87
47b8 a145
7344 2556
2c88 377e
2d63 023f
d3fb e23b
07ba 1869
ef39 b268
6ab7 dd55
69eb 5fbf
53f8 1d19
e314 293e
a711 0391
4c90 849d
084b a584
e786 678d
b30a 2f3e
08d1 264e
5493 3559
5dcc 81f6
3798 31c7
6431 3f51
4a2f 536a
f1b9 b4e6
30bf 5ba3
14a4 84b6
78bc f7b8
adf4 1fcd
fb49 fa84
a46a 0393
a007 8bf0
6b20 5311
bb2d 73f1
795f 0fc0
a949 d72b
91b6 e0e1
08f2 f5e6
2032 5321
4950 11ea
0806 7a0e
6d8d 1caa
fec4 e649
1462 acb8
0616 0faa
a73c aa80
133d 4743
366f 7e5d
9a54 f19c
f24d 13b3
015c 9b96
eade 9312
7c77 f3cf
88f8 9ca8
46f0 d247
ae92 4ef6
4c55 1c1f
6ba0 4b19
0268 8001
f7d1 087e
8fab 9f0d
b2fe a2e8
e64f e96d
2145 80a3
db09 1392
9455 dc65
af28 7f33
6f76 2b9e
7302 f86e
c846 b9f1
cab5 76d8
08e7 170a
92f7 7486
6223 955f
f487 59f4
9ddd 8432
f900 50db
271a df4f
3a47 485f
5ff2 1550
5bf0 f447
f1b4 0b18
7379 612a
36b6 e67b
5998 fefc
a06c 244c
75d4 a952
3b56 08cb
1dd8 9d78
9e2a 125f
f76c 3c07
9691 f06c
8ce1 bdab
cfbb c728
060a 2fac
dc78 61fa
23f3 ce2c
6d11 976c
2f56 a3c7
7de6 88ed
a2c2 1e52
ad39 1896
c7a4 e88f
2160 e57c
8607 bf8a
f7db 7d72
fb90 8e6c
6dde 8871
4c17 3d98
4f99 5220
6d44 2c11
b41a 9137
fa3c 212b
28a2 2992
c4f1 a688
b27f 67b3
c4da 5fb8
8049 8c7d
4846 a1a9
71f9 ce4d
6132 69d3
4bbf 5cc2
f83f b99c
e533 4455
f734 34cc
9675 6478
60dd 4a8f
f5af 5b19
6bb9 1e51
84aa 30aa
c4d9 3729
985d 89b2
96e0 18a6
162f df26
ba4e 8828
ad73 1b80
f1fb f931
7842 ea39
b2cd 5d75
2e8e aa01
9241 c503
0e79 f31e
0f92 0428
4e36 7b4b
2278 d2e0
abf5 e751
0a09 4452
7103 a0e9
5cf7 8732
800f 1745
0f59 2d81
32c5 0154
26b2 ab07
eb8d d97f
087c 1a1b
8380 9abd
df1e 91f9
8ddb eeaf
9621 dc11
69fa b899
aef1 15ee
9fe9 b8f9
5a40 10ec
59e2 b737
981d d9f0
ce7c a776
0771 0141
a8ca 2e23
ac48 9456
07a2 b4c4
ae71 8b22
4f81 8d8e
1d1b dd5b
7c3d b33c
b96c e637
6bd4 685c
fc25 0bbd
2155 5664
1ca9 7b37
0d9b b4c6
5527 dc16
5c3c 5c98
dd57 0505
8abb 899e
995b 925d
3e62 47cc
1d7f 8de2
d55a 3a9a
6b3d 5197
edd5 24a9
37cd 59a9
8d05 33f2
6566 ae5a
8a56 820f
2990 97f0
36d4 7eb7
7406 9310
db4e 515d
9815 6609
dafb 3170
f865 195c
793b 15e4
a73e 4e95
507d 127b
a02b 3e52
3724 d7f8
97fb c428
0bea fd61
7282 963f
7f70 9c12
2e2f b644
1ac8 a235
4953 f616
f392 e168
5c1f ce8c
12d7 5484
e7e8 8c12
6a67 8f26
daa7 bae4
a1a1 7ad2
f936 d8c5
52ca 9131
9ced 5eb3
8e92 0f6e
f4f2 0e02
ab80 2321
c445 c648
c556 0d98
bc5e b8e8
ef00 187c
8774 01d7
6d00 6f5c
8de9 d767
fe82 688f
924b a023
e361 8b81
78e7 362a
1cb2 15d4
94dd ab44
2542 89cf
b945 d0c1
acf0 7d8a
9709 7246
8b22 5366
2b2e 7a22
6be2 b2a1
7bf8 d8e2
21fd 09e1
b048 207e
7270 4293
c0a1 55d0
ce13 3988
8bfa eac5
4f5b 20d7
9608 749d
aaa6 4f4d
455e 5796
ccd7 dc66
c9dc 57f9
2fcc f50a
d21b 9bae
a7ab 4e13
7490 c9a7
57f3 24d8
ea25 ca63
676a aac6
2033 357d
e44d ac2d
2042 33a8
cd04 b64a
a845 77aa
0597 eda2
cf40 d26e
ca08 991c
2a67 f9d4
8e25 fc81
9582 35d0
4a94 0a12
ff77 a287
2ee9 e99c
6ce9 9653
9461 8d1c
cbd0 78ae
3948 ec12
ac56 064c
a25b 549b
7df5 a7f2
423d 4d35
7a5f 0c45
e650 a4c6
0619 7475
a147 9b9b
aa45 ebda
a5ac a9bb
8e61 d495
9357 fb4a
6ae8 27b8
8865 36b8
a066 c1ad
22ca 4cbc
c7f9 c525
a156 45ee
6d16 e393
9322 e775
efd7 7972
8c3b f5f0
ede7 2d81
918a 982c
195b 3736
41e7 a7bc
0bcb d53d
a305 76b3
fcf5 2b6a
ad6b 9d5a
ed17 d035
ea16 b510
9559 8b6c
fafd 026f
6efe 8e1f
e9e4 5ed5
0791 761f
54c5 f578
a3a0 e64f
8da4 bcfb
1d85 cf8a
64b6 2950
a4c7 07bb
a003 a1bc
3325 4d6e
3f16 203c
1da2 292b
d54c b2fb
b497 d049
b56a 2395
5e68 9f4e
826a 65f9
156d d72e
5b71 b90c
bd7d e914
7607 db01
b89e dabd
0451 5d65
e278 a453
ff21 159d
f1c1 3e36
35d9 0f63
6761 0b24
c25e 1bf8
db6d 77c8
3f8c 39d4
1716 c1f6
9fcd 2c82
9924 fb3d
e58e 56a0
e451 5b95
31a1 9cef
3651 35f2
fa54 18c9
da45 f975
2e65 cc05
37ab 643e
db68 9f0c
6f62 9dc5
bb03 4ace
158d fa8f
84a2 2ca2
bc85 246f
5924 55a8
1fac 3eb2
ac48 03fd
9a47 dde9
a0ec d098
13db 9b40
e960 ee1f
94b4 17c5
ba24 cc5f
7c03 958c
6b6a eb64
3351 266d
3632 48dd
20fc bad4
757f dd81
df43 cea3
3329 feee
0d55 df71
02eb a79c
bd5a a3d6
7833 d134
3f16 6193
bf53 d3ca
7958 7977
a028 f55b
0f03 0b92
e0bf 4253
31ff 16f1
8b30 52fb
d1c5 00af
307c b107
cf52 63a4
aff5 dca7
4315 b2e0
8443 006e
56b6 fc76
d1a2 95cb
5e09 90f5
6995 d761
0a6c 09bd
ccbb 196f
154f ad7a
5bc2 474e
c46a e6f2
9a49 962f
e7a1 cac4
4736 b6f3
2e68 f72b
939a 717d
aa0a 17dc
71eb 00c0
1452 438d
968b 725a
d482 001f
49bb deee
09dc 1676
f85c 1f2a
c3ef 541e
6678 8859
3b0f 00c0
1e88 22b0
cb84 65bd
d9a2 f9ec
5ce8 6d3c
6b69 06f2
8518 dd53
07b1 9969
20e0 9e3c
0bc3 f561
9e5b 557e
d44f a836
6bf3 ccab
c760 2fe2
20c8 2dd8
b83b 5bd7
2e98 d6c3
7e87 fa1c
3c80 5829
f408 9967
c564 5f70
a059 4a7c
3cc3 a80a
e3e5 5da3
4645 efa8
5304 e4a0
4525 2752
8cd6 b118
f3fd 5436
e0fa 14c5
820d 9935
709c b0a5
6ff8 ef22
aac0 ac77
474b 9ec8
45de 0caf
fe38 e637
572a 3afb
8e40 3b0f
989d d485
2ab6 eba1
b925 6fdb
12f3 45fa
20f3 06ef
9a30 01ed
1bb4 1c3d
9b22 8c4f
cce1 0b1a
7b71 77a1
b791 c2bc
1669 fd6f
cf6a 14a0
e3a5 2694
4f9b 71e5
61a3 e838
466a 8c59
d3d8 ff8f
fc34 e6cb
4589 1d27
edba dfb8
1f14 096d
fbf5 ba36
95bc c8d6
c54f 112d
4077 7ce0
d3e9 56df
7a4e a353
6b7f 5df3
c9e7 bb1a
cfd8 2b89
a351 1642
b7e2 7729
15d1 b415
5df4 5b59
d13c 4bad
3b11 f04f
551a 3706
aa85 ead6
ffdb 6fd4
fc03 4052
ecb3 cfec
9731 6701
733e 02b0
c4f4 3d25
bdc9 94cc
68ae 611a
ab0e 208f
d843 c0df
d4a4 3637
1c38 a5e0
81e4 5749
962f d6fe
8e4e 40b3
c1d4 8e29
b087 bdd7
ce7b 9d3a
8dc2 65ab
043b 0100
685b c92f
3e25 2624
5dfb a6d2
873e 0909
c761 5f81
c9e7 9c05
95b7 e61f
41e5 179b
3d67 d813
ee98 cbb5
18c6 b06c
59de c94d
6e42 2859
6686 fc04
8e04 6ac1
fd04 f65e
33ef 3b29
1c82 91ea
e1fb a3bf
9af2 a95c
0340 64d9
4561 98f7
4af8 8745
b091 885f
5f58 9f29
5414 781e
4f95 adf2
416b bdd7
d64a a7f1
b9db 644e
12b1 b6df
5aac 46a0
f207 772d
d88a d402
1aec 737c
7d5d 1e2c
d855 c2be
b722 234c
4a03 67b3
abab a95b
06dc ffbe
2179 5671
adb0 62e3
1447 83fa
0ad4 ce22
e847 1d85
8500 42f3
6425 7707
ba20 3cae
4b09 d50c
b02a c866
f337 887e
8b23 aa59
abca d526
120c 5775
7e80 18e8
5733 9ff9
6f59 04e2
02dc 83a0
88dc 0daf
51c1 7123
2b34 d6c1
b415 8f58
4dc8 6e35
cc06 98d1
4340 7c30
6136 3677
04ae ec59
e0d0 b078
c17f f2dc
07ec 3fff
0bc4 5f1f
dff7 7b1d
6401 e2d3
febc ecdc
f082 507d
5dff 1bb5
273e 1214
ab0d 7506
8048 7713
0dd7 c388
f343 6f0d
f9ff f7f0
5b66 dacf
a868 1ce4
cdab b054
5ce3 d96f
0f72 3cda
548c 7373
1fac 5348
604f 102e
a3c5 be4d
2be3 cb03
d061 d6f0
4009 50a9
4e03 4ddf
1431 4145
bcec 0e30
3935 1851
e8ff e19d
3535 b6aa
91f0 9218
9019 a162
cef1 e4a4
14d5 ee9d
37ec 7523
fecb dbb0
3370 2aad
a6b3 03d1
019d e6bb
5479 4f9f
349a 68aa
90e4 f186
76d9 ca19
09d7 5fd8
abb6 3f0c
1681 3da6
d123 a69a
df08 a014
8b3e f3dc
8eb1 c329
68ff 8d7c
9ed9 9c6f
b829 458c
a040 b9c5
2c47 f4b9
0964 60e1
5d62 9a48
5266 d43b
6461 5c3d
3413 1017
9b48 4a94
4dbc 6c6b
f12d 2cc4
0c7f 7c6b
20a0 9b30
3f94 899f
28ac de6d
260e e0d4
23f8 c64d
9a99 503f
bb06 a3fd
b11f 1868
3e45 0385
eca3 a2a6
5fc2 20b5
b2bd fb0a
6b49 0079
6775 5c76
2d3c 73f4
d8e0 4ddc
0f24 1874
d77a 37cf
f6e0 fd88
18a3 1ad8
c3d5 b33c
6b17 7eda
5739 1c36
9742 957e
1fbb 83e4
3824 7f7c
a499 eae1
7a86 0fe2
eb59 e1fa
6c57 1895
55ee 4537
6671 6511
5dab 3deb
9ce0 548b
3b72 b583
6f63 ff47
68bf da79
7e21 bff8
f6af 1562
5576 1669
9946 8d9a
95e5 3ddf
787b 106b
4dc1 63d4
f265 ba18
7c69 4852
ff4f e2d9
ad63 5cf9
20c4 4a43
b184 5c36
ffc6 20e6
5b7c 6885
fb5f d99d
287d f20e
eeff 7df3
0877 8845
0b8d 9e5c
c624 8408
aec6 13e4
e7db a12b
cdfc 6444
e97d cd4a
471d 96e0
2a43 67e0
e123 dbc7
c416 e0e9
fcad 1f92
496e f80c
f92e 71eb
ea19 e82d
efde f290
7071 fb6b
90eb 3695
7f72 3fb1
4a79 674d
e0dc 1874
cb91 ca58
e5be 12ad
6138 1001
7a8d 425a
ebc8 3ea3
2343 e874
5e34 6cb0
e080 5762
de9b ca99
3f8f ce78
bd28 b000
c9e3 4e13
e694 4955
8dc4 310d
b0a2 6ea0
4981 7c32
38f8 2f3f
8edf 9a2f
3f40 096c
dc89 2b07
480f ffcc
137b a643
6c7c f3fb
fda5 4b16
be93 3d33
198e 7bbb
ed33 e371
c9ce d3c7
2cc5 5792
04d3 dd67
c632 4e54
5999 ff29
7d92 e878
9958 bcd2
f1e4 75e1
e7d9 39f2
75ad fb54
e035 e228
ef4e ddd9
2d3e ade1
1b0c 46cc
299c 083f
2a3d f36a
dc05 5702
4afc e0d8
3468 112e
2f2c 8e01
1057 acbe
7678 a9af
698f 685c
1f90 5168
a24e 953c
4cbb 8282
7764 3c09
605b a4a2
e9ea 7b67
eb6e 1386
83a6 15ab
06f0 5fab
6cac 51ec
4083 a114
631a 6fae
2f15 7370
1c6c a58d
1d1f 85fb
0de8 3cae
d762 b036
d1ea 241d
32b8 494e
6026 9313
edf0 4a10
0e7a d95e
5d96 921f
ef09 6486
f1ca 5bb5
b672 324c
fcc9 198c
a1fa 2bdd
8cfc be66
d16a aa1a
4460 df52
e6c8 1bc2
8f87 b8b2
3fdf c23f
0200 a005
5551 eff0
ea15 63cb
c94e 47ab
f5ea b857
ac31 e7b3
140b 62a3
19ff 10d4
7c2f bbf9
3cb1 092a
7a5f 0e1a
b344 bebf
ed6c 9a0c
da81 7cf3
52be 1a60
3f31 54be
ba65 9482
44ae a47a
f84d 0dfc
ec25 ee36
c653 9856
d5e9 da5e
faf9 efe8
eb31 7727
abe1 27e2
8051 2640
35fc 3395
e4fe 2367
cda1 bf7f
a05a 205f
d9de df8b
751d 9443
740d b9cb
38bc 6c59
c7c7 24e1
5a8f 8e1a
bd36 3078
6877 b82f
2060 53a8
2f56 cc41
7b8a afa7
f281 b185
e33c d77f
d4ec b0dd
96fd 7546
d13c 70db
54d0 4659
051e c8dd
0024 3dda
3536 c7eb
62ba 8fc5
5604 1ff0
c03d be7b
d81f e09d
1223 0774
acde 8dad
b71b 9f5e
3f32 9a56
76dd 141e
4b33 0dda
8963 1c6e
7eb5 de33
62c7 83d2
a710 62ea
c1ac dc45
2ad5 2466
6c0a 80d9
4456 2c46
3f54 1c74
0ce3 5177
23e8 b9c0
df23 db03
591e 1e55
7559 cffb
3272 c08b
ddd4 bbd5
dcf9 5c89
9a08 3fc0
e05b 4118
a2aa a206
1d5d cd7e
c66c 8966
4e57 0ac1
b5ac 8daa
2735 c28f
df21 4b1d
7c4f be44
2620 d56d
dc98 9b78
a567 0f0a
5c03 833b
cadf 38fc
dfc4 64e7
78bc c01e
a5ff 1b65
6224 c35b
e8e3 2890
4cc1 373a
3351 026d
c4e4 5a86
c4fc a404
a5a3 414a
6248 cbc2
16b7 3ee0
673a bc1e
4dea c33d
3f59 18c9
fc39 1f1c
7db0 74f5
df3a 23ae
905a 415e
e709 793d
69ee 33ca
b076 9d3e
3637 755a
f7c4 fb33
195e 9d66
3c7d 7ba5
6928 5333
ba85 d062
0f51 086e
939f 4ea9
2137 8fd8
6dc5 9ee6
04cd 4cff
c294 9526
8e5d a99d
0e63 f84b
dd67 bed9
9589 139e
3432 8d4c
0ed1 4d90
2ab2 4b4d
c935 93da
9e80 83b9
643c add1
8c27 f7db
fc7a ad5e
87b3 6a3f
4c44 8c80
b73e 0ed8
21a6 459b
b875 3008
3de5 95dc
eee1 d36e
a97a 2313
60ba b84a
70a2 8b6c
0397 39d7
1f46 a217
bd90 8382
4fe8 49b7
7b5d 4c61
f714 0310
b6a0 4358
8f8f 6ddd
522f b135
b378 0aa4
e13d f15d
a07f d01d
c4ca 49f9
f330 2584
0243 63d2
b0ef 05da
9da8 d035
a7f1 5b38
53b6 f7d8
a4ee cf13
4439 9c02
d222 fad9
df5a 61b1
68b6 3189
12e6 1c2d
3c2c f422
0d8a dcab
c43f d254
26a4 b76f
f7d7 28e6
1b40 a8c6
2ec0 b8e8
78fb d6b0
1420 ccb1
ce88 b90e
9bc3 12c1
5510 6de5
0d9a 3469
cf96 764f
65f2 e27c
927c a21e
d69e a006
7ec9 9add
7259 a56c
524b 6a30
ce52 6d8b
12f6 fd12
2673 8bf1
d3c2 3a93
58a1 a24a
f3a0 f464
b50b 48b0
6249 c2a4
7d19 31df
38f3 e30a
145b cb6f
8528 eaf8
6b75 03f0
85d5 ddce
a95c d820
47fe 77ae
45ab 5af4
74c0 6c1e
e6e4 4881
a6b0 3f85
eacb 9a50
33e9 9fd5
e300 9632
6279 6018
c811 9b6c
4322 dc6c
66db c84a
c764 d250
cc3a 4d38
b01d 7596
2558 f81b
ed44 6b02
530e 6203
d720 39f2
aa84 7dd0
7977 954f
1820 ad60
3524 fb1f
4392 979d
5b37 0ba3
3309 9e59
e80f 99e4
66a3 af72
6c33 32dc
fcaa 1c50
a872 2202
146b 95b5
8d04 6779
f7b8 6423
a16b a23c
e1f3 1ae2
378b fa12
c842 6cae
f531 0bd4
044b 5068
1777 3753
eec1 ff85
d137 5564
aef7 3d6a
8840 aba1
59ba 30b1
cda3 6e24
c666 5aa6
d59d be1e
bec9 7707
605a a0bc
91e9 97e5
9ace 5a2a
0493 8fff
65fe 08dd
e067 7d74
4030 cf28
7cf9 1167
248b 2bf0
4ed0 accb
d791 a88a
dd7c a534
16ae a3e2
ffda ec4a
6200 bea3
6351 c25a
5f5e f53a
5a3e fa2c
4f64 5ed1
8a2a b561
67ae 6a91
32d5 a7de
39b8 afce
b944 5e43
dbbe 0814
0b0e b34f
b09e e889
5883 c74b
8c6b 585c
b395 ee6a
16ff 16e6
b0c4 765d
0c20 0b02
7088 5b83
69d2 fab2
10e4 d180
6543 43b9
795d 9efb
f387 32a1
fd3e cf45
3ab5 084b
8294 eb53
f0d4 db17
b29e 7d3f
3373 6633
6ba9 4a71
7d19 1c6c
c0ce 8938
276e 3156
e4bb 9140
2c08 f59f
62bf 914a
3958 dc1c
3045 2cdf
0ebd 2d82
fc24 4972
35cd 7eb8
34c5 26a1
59cf e762
a3e0 8d41
4d95 0f88
d7b2 caad
2bf4 9880
53e5 5362
c9d5 38a0
e4a1 f5dd
2e3f 4760
8727 6797
237c b76b
9476 3239
e4ed 909a
7bab 1aba
0f52 b070
415b 6921
97d2 e53b
f662 e566
f4c3 ce14
b013 20b7
6693 03f8
7418 3068
3c98 58b9
2645 6ad7
a019 ad6b
d26e c395
64d6 66e4
f5ce 49c3
f77e 7179
647d 06d0
21e9 a5d8
6ff1 b9ba
8b13 6652
9f20 7fd5
3466 4f33
a08c 9af9
532b 14a4
cb61 8fc3
6d5d f1a5
fa9a 0d76
9f10 cd08
d10b 03e6
33ec c6d9
4da9 2b6a
3852 b226
323a 5a3a
57fe a22b
13f4 e311
087d b314
62e6 3ce2
0247 0371
d7db 5572
1815 a33b
e535 8571
94e0 dfcf
92e7 33f0
acd7 63f1
37d6 e0c3
2aca 857f
0c2d 631b
37a5 3e67
bd55 8fa3
e092 d149
72b4 e90e
845d d599
25f0 86a4
d90a fdcb
dc16 f11f
a106 c14b
7690 35e6
a11a 0976
69d6 4df1
6d67 a1ac
2eb4 9831
272b 3ae1
fb4c 5ed0
7948 b8a1
ee73 59da
89ea 6126
42e8 0e47
36bf 68d8
94eb 0fc9
66a2 7101
00e8 07a8
324c 7777
3d8d d366
80ed a763
2157 ee54
490e 500b
8685 7039
8aec 81d0
cf08 0434
3a71 bd7b
5e0d c45a
1ea1 a0f5
d2a1 5560
09cc 678b
6529 706e
d88c 6610
7816 0ad7
dd87 b5a3
de3d 5e74
5d05 ff93
4cc8 a613
4f9e d34d
164c da89
551d e554
debd 8f8d
a2ce 3cca
53e7 c16f
ddbe 2688
16ce e78a
8e13 7bf7
57f8 669e
e207 d00e
7175 bf8e
85b0 4fb2
1e02 e2b5
4f45 6aca
88c8 9ee2
3e16 9f14
796b 9333
8467 5828
22c0 2735
94f1 76a7
e8a4 72af
9d2e ff72
5a39 2b41
7b68 b231
91df 5d6f
823f 0354
1cfc 07ef
5305 3afe
eaa4 a24a
a5c7 736c
412c e3dd
127f ba97
7710 96e6
12be 99cf
be1b a7af
1076 a6bf
1a5e ada4
a630 7497
d8e4 2198
26c8 6ac3
7f07 a907
6e16 9c03
b0f5 c11b
d700 9b99
6365 7cc7
0f04 a490
60a4 2183
5f27 d7b4
b869 71e5
7183 7684
1994 81f8
1d43 33f2
2f9c c373
a889 0880
e50b cf51
7342 6411
7857 e158
0014 294c
a273 d714
c4e5 05d8
53db d3e9
aa68 b47f
f56c 098e
8c32 add5
7b73 fdb5
2459 9506
7fad 419b
c8f8 af48
050e 7180
b7c8 ea18
40d1 2b0a
4e29 b928
0c62 4e3d
e274 aed5
2550 a758
b4ac 792b
7b41 5f14
2da9 70ac
68a2 b9db
1e81 e414
b790 42d9
791a 373c
8474 4212
e684 8982
b392 9e4c
739a f462
c955 c1c3
ad8a d5b7
0fff 8ffd
848b 354f
3755 3937
ae7a b296
984b dc23
2342 00ec
95fe 41c2
e500 4d8d
849b 5e1a
84c9 090f
a02c 6b4d
9291 53bd
0999 062a
481f d2ee
c7ed f5a9
a8a4 d7ec
85a6 2d2f
0d3b bcfb
6666 bbb4
6f90 feb1
97d7 92d2
ff9d 2dd4
d494 e49d
7b61 592f
42b7 002a
623e e2e2
6b77 f4ce
369f 7510
faf8 7ebe
47fd c2e5
7467 f0a1
9ad0 fa0c
1dd0 a80b
b707 8436
63bf 2697
82e7 fb95
b968 8283
2969 8dfc
6720 a4ca
e72a a9d6
a4f4 4968
8cb8 106b
3e36 c357
857b 392e
4215 cd78
fc12 b67c
be19 96e2
b088 dbe9
3eed 678e
601f a2ab
8e25 e305
9e40 478d
6588 c7a9
d588 cca8
6c73 bcb2
767e 1167
061a 0336
21d2 444f
c68d a74d
7d7d 08a2
74c4 798f
bf1d 32dd
1071 6fa5
0ec5 4f5d
d733 6ee4
f208 6557
51e9 9048
ace4 b771
57f1 826c
8418 c464
3f1e fa96
d5cb 4537
fdcb f79d
8986 c458
9eea 0703
ccf9 13ae
8091 8c16
468a 9102
fbbb 554f
e05f d2ed
c433 d267
3844 161b
62af e528
cd8c baa0
6793 51a4
7f04 a6b1
4c39 54cf
ebe8 4a04
4c6c 756e
0e5c eb55
7c70 db55
ff03 fd01
676b 458d
8e03 6325
9adc 6e61
3612 5f0e
40c8 6e56
7529 a376
537e 42b5
5e16 bb11
9458 dd19
61c1 e091
31e8 4da9
2a95 7e53
c316 38f1
69a8 3f86
1445 68ab
3c87 7bb0
ae37 ca8a
ded5 4913
38eb 14e7
a821 79b2
833d 1d4a
1d28 d6ba
5ffe 7b3e
91cb f456
5857 f38c
d4e7 8a3e
4134 ff7c
0891 044a
386d 7239
43d0 4cb2
dae4 8057
c861 891b
4ae1 a736
d22d 83cb
bc1c 7a4e
fd7d 3f59
9797 1aa5
1613 f795
95e3 a7dd
ebeb ee39
9b69 c0d2
7877 dc9d
c04e 8108
e0e7 f8bb
f341 24b7
456c ce25
a50e 0dcd
573f efee
b503 296c
73b9 711f
a3ba 7136
b077 3b51
8bdb c68a
32e6 21be
6e67 1ed1
0ff7 09cf
dfa3 886e
e66c 9ff1
0976 c752
98ab fcb7
ec09 de17
cadb 9116
ebe4 221a
8104 a0e7
4b86 f4bd
1205 ef40
65f3 c27c
2a90 f1ce
8906 5d76
138c f76c
7c46 2382
013b 5be9
abf0 e7a7
fbd9 b565
aef9 9484
b21c 9b01
729b 7cf7
2c17 5e7f
9f11 ad1b
ff66 ea97
a1d8 116b
d9d6 07cb
d3e7 0466
f999 5cec
61dc 0d25
5458 de22
30a7 5593
3a0a dc96
3d3a 35e3
91fb ec32
ca67 4417
8733 3d02
c10d b34a
9b81 601e
6065 9ae7
4ab4 023d
ac51 248a
0a08 8038
28f0 03a1
dd24 8acc
10c6 317c
68ed 416c
870f a2f7
1e02 c448
d8da affd
b07a a341
f414 37ad
e043 b521
eaf7 7bc4
153e 4b5c
16ab 5ff2
4d99 c2fc
847c 57a1
4333 ad6c
5b42 2057
3838 6c08
51d2 a125
ad74 d8e1
441c cb76
9d29 1cf6
7b73 4da3
c037 6f86
8550 a07a
24a7 7047
1c3e 39e5
bba3 32e8
99d7 093c
f5e4 1e53
60dd 3917
cbbf bc1f
596d 03f6
2826 ab3f
a51b d59a
8420 e936
a10f 2148
062c 1c82
6eeb c662
8c08 f43a
66dc b0ae
6481 8319
ea93 2023
b601 8469
295f abe5
a2bc 8a3b
e4fb 6e7a
465a 3e68
7270 6e80
e9a7 178b
4419 6dc7
00c1 e528
8f0f 06ec
01aa fdf9
cd4e 8db1
f233 342a
3e5f 56b4
b743 28f2
76d7 6d44
ad5b a035
1928 5016
2a70 fe23
be90 70ca
3c8b 3100
df49 2632
488b 2362
93f9 494b
088a 2307
5037 0a34
2100 1d85
97e5 1333
51af d644
69e7 08f1
ff35 e0bd
7635 ac90
80f2 8f5d
fca6 ab62
8d80 bb36
1c2c ca0b
ec36 fb75
